"name","slug","post_body","meta_description","id","editLink"
"How do I install the Leadin tracking code on my Drupal website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-drupal-website","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Log into your <strong>Drupal </strong>admin dashboard and click on <strong>Structure </strong>in the top menu.</p><p><img alt=""drupal1.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/drupal1.png"" title=""drupal1.png"" width=""374"" data-constrained=""true"" style=""width: 374px; display: block; margin-left: auto; margin-right: auto;""></p><p>Select <strong>Blocks.</strong></p><p><img alt=""drupal2.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/drupal2.png"" title=""drupal2.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Click on <strong>+ Add block</strong>.</p><p><img alt=""drupal3.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/drupal3.png"" title=""drupal3.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Complete the following settings for your new block:</p><ul><li><strong>Block title</strong>: Provide a title for your block, ex. 'Leadin Tracking Code'.</li><li><strong>Block description</strong>: Provide a description of the block, ex: 'Track website analytics with Leadin's tracking code'.</li><li><strong>Block body</strong>: Paste the Leadin tracking code copied above.</li><li><strong>Text format</strong>: Choose 'Full HTML'.</li><li><strong>Region settings</strong>: Choose 'Footer' for your default theme.</li><li><strong>Visibility settings</strong>: If you do not want the Leadin tracking code to track analytics for certain pages, add them in this section. Otherwise, skip this section.</li></ul><p><img alt=""drupal4.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/drupal4.png"" title=""drupal4.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Click<strong> Save block</strong></p>","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard and create a new HTML block.",3701236535,"https://app.hubspot.com/content/324680/edit-beta/3701236535"
"How do I install the Leadin tracking code on my Squarespace website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-squarespace-website","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><figure><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></figure>Follow the steps <a href=""https://support.squarespace.com/hc/en-us/articles/205815908"" rel=""nofollow"" target=""_blank"">outlined here</a> to install the Leadin Tracking Code on your Squarespace site, specifically within the Footer section.<br><p><strong>IMPORTANT:&nbsp;</strong>Since Leadin <a href=""/knowledge/how-does-leadin-capture-form-submissions"" target=""_blank"">identifies forms based on their CSS selector</a>, and Squarespace changes the id of forms constantly we use a different selector to identify forms on Squarespace. Leadin will instead reference the first <code>&lt;input&gt;</code> or <code>&lt;fieldset&gt;</code> on the Squarespace form, so it will look something like <code>#squarespace_0_11_2_3_4455667788990_123456</code>.</p>","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard and head on over to Squarespace to embed.",3572911677,"https://app.hubspot.com/content/324680/edit-beta/3572911677"
"How does Leadin capture form submissions?","knowledge/how-does-leadin-capture-form-submissions","<p>Leadin has the ability to capture form submissions, not only on your Leadin popup form, but on most existing forms on your website too. Check out <a href=""/knowledge/can-leadin-capture-submissions-on-my-form"" target=""_blank"">this article</a> for more information the type of forms that Leadin can capture.</p><!--more--><p>Leadin listens for a submission on a form on your website, which we identify by the HTML <code>&lt;form&gt;</code> tag. As we detect a submission (we bind to the form submission event) we gather the information on the form and capture it in a cookie.</p><p>As soon as a submission has occurred, Leadin stores the submission information in a cookie on the visitors browser. This cookie is called li_formsub. The purpose of this cookie is to ensure that Leadin can process the submission, even if the form redirects to a new page.</p><p>In the event that the page redirects, once the contact loads a new page on your site Leadin will see the previously set li_formsub cookie and capture the information, removing the cookie in the process.</p><p>In the event that the page does not redirect, Leadin will wait a brief moment and then capture the data stored in the li_formsub cookie and remove the cookie.</p><p>Once Leadin captures the form submission from cookie it is processed by Leadin, generating a submission notification email (<a href=""/knowledge/how-do-i-disable-notifications-for-a-form-in-leadin"" target=""_blank"">if it is enabled</a>) and pushing your contact to any connected email provider lists (<a href=""/knowledge/how-do-i-connect-leadin-to-mailchimp"" target=""_blank"">such as MailChimp</a>). This process can take approximately two minutes.</p>","Leadin has the ability to capture form submissions, not only on your Leadin popup form, but on most existing forms on your website too. Find out how we do it.",3701236550,"https://app.hubspot.com/content/324680/edit-beta/3701236550"
"How do I disable notifications for a form in Leadin?","knowledge/how-do-i-disable-notifications-for-a-form-in-leadin","<p>Not all forms are created equal. With this in mind you can disable Leadin email notifications for submissions on a per-form basis in Leadin for all collected forms.</p><!--more--><p>To disable email notifications on a form in Leadin simply navigate to Collected Forms, click on the form in the table&nbsp;and then switch notifications off. That's it, no more notifications for forms that are not important.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/forms/collected-forms-disable-notifications.png"" alt=""collected-forms-disable-notifications.png"" width=""640"" style=""display: block; margin-left: auto; margin-right: auto; width: 640px;""></p>","Not all forms are created equal. With this in mind you can disable Leadin email notifications for submissions on a per-form basis in...",3541336936,"https://app.hubspot.com/content/324680/edit-beta/3541336936"
"Why do I not see my forms in Leadin?","knowledge/why-do-i-not-see-my-forms-in-leadin","<p>Forms in Leadin are based on the forms on your website. This means that, each unique form on your website should appear as a unique form in Leadin.</p><!--more--><p>Leadin identifies forms based on the CSS selector of the form. This means that, if your form has a CSS ID of 'gform_7', this will appear in Leadin Forms as '#gform_7'. Once a form is created, you can <a href=""/knowledge/how-do-i-rename-a-form-in-leadin"" target=""_blank"">rename the form</a> to something more understandable to you and your team.</p><p>Leadin will show your forms in the sidebar of Leadin Contacts, as soon as it has captured the first submission on that form. If you have a Gravity Form on your website, for example, this form will not appear on your website until Leadin has picked up a submission on the form. Once one submission has taken place, then the form will exist in the Leadin Contacts sidebar where you can configure options like a connection to an email provider or rename the form.</p>","Forms in Leadin are based on the forms on your website. This means that, each unique form on your website should appear as a unique form in Leadin. These are some reasons why you might not see your form inside Leadin.",3541341056,"https://app.hubspot.com/content/324680/edit-beta/3541341056"
"Why does my contact have no page views?","knowledge/why-does-my-contact-have-no-page-views","<p>As soon as a visitor comes to your website, Leadin generates a brand new tracking cookie for them, and sets this cookie in their browser. Leadin logs all page views against this unique cookie and as soon as your visitor submits a form, Leadin will surface all this information into a contact timeline for you. More about contact tracking <a href=""/knowledge/how-does-leadin-track-visitors"" target=""_blank"">here</a>.</p><!--more--><p>Under some circumstances, a contact may not show any page views in their timeline for a few reasons. Since it is this browser cookie that enables Leadin to tie together all their page views over time, if the visitor decides to prevent cookies from being used in their browser, this would prevent Leadin (and other analytical tools, such as Google Analytics and HubSpot) from logging their page views. There are a number of ways an individual might achieve this, from settings in their browser, to browser extensions such as <a href=""https://www.ghostery.com/"" rel=""nofollow"" target=""_blank"">Ghostery</a>.</p><p>Ultimately it is up to the individual if they do or do not want their page views to be logged by analytical tools like Leadin and Google Analytics.</p>","As soon as a visitor comes to your website, Leadin generates a brand new tracking cookie for them, and sets this cookie in their browser. If a visitor has disabled cookies, Leadin will not be able to generate a contact timeline for them.",3572907907,"https://app.hubspot.com/content/324680/edit-beta/3572907907"
"How does Leadin Track Visitors?","knowledge/how-does-leadin-track-visitors","<p>Leadin tracks every visitor that comes to your site using <a href=""http://en.wikipedia.org/wiki/HTTP_cookie"" rel=""nofollow"" target=""_blank"">browser cookies</a>. Every time a visitor lands on your website, Leadin will check for the presence of an existing tracking cookie. If a tracking cookie doesn't exist, Leadin spins up a unique browser cookie for that visitor and will log every page that person visitor moving forward.</p><!--more--><p>Leadin will track the page view activity of each visitor anonymously even before she becomes a contact. For example, if a person visits your website three separate times before filling out a form, Leadin will still include the previous visits in the contact timeline provided all these visits occurred on the same browser.</p><p>Leadin cookies are set to never expire. Since Leadin uses a cookie to track visitors, if a visitor deletes her cookies, Leadin will think that person is a ""new visitor"" next time she visits your site, and assigns her a new tracking code. We do have logic that will merge her contact record with her prior history the next time she fills out a form with the same email though. If you're curious about how that works, checking the ""Contact merging - by email address"" section below.</p><p>Leadin automatically integrates with most contact forms on your site that contain an email address field. Any time an anonymous visitor fills out a form and an email address is present, Leadin will identify that visitor as a contact and generate a contact record for you inside your Leadin account.</p><p>Leadin does not allow you to view page view history for anonymous visitors right now. This is a feature we're evaluating for the future.</p><p>Sometimes a person will visit your website from two different browsers, like a mobile phone and a work computer. Since cookies can't be passed between two different browsers, Leadin assigns each ""visitor"" a different tracking code, when in reality it's actually the same person - let's call her Shirley.</p><p>No worries though, we have you covered. Let's say Shirley fills out a form on your website from her phone. Leadin will identify that anonymous visitor as Shirley, and keep track of her going forwad. A week later, Shirley is checking your awesome website while a work, and she fills out a different form with the same email address from her mobile session. At this point, Leadin realizes it's Shirley again, and will merge all her mobile history with her work history into the one contact timeline inside Leadin.</p><p>As outlined above,&nbsp;Leadin facilitates it's visitor tracking through cookies in the visitors web browser.&nbsp;Leadin will automatically merge multiple browser cookies together, if the submissions come from the same email address. The same is true for multiple submissions on a single browser, aka a single tracking cookie. Since cookies are unique to a browser, if John and Shirley share a single computer their submissions will be merged into a single contact record in&nbsp;Leadin due to there being the same tracking cookie present on for both submissions. Contact merging by cookie exists to ensure that, if Shirley submitted multiple forms on your website using a personal email address and a work email address, they are merged into a single record in&nbsp;Leadin since they are both Shirley.&nbsp;</p><p>When testing submissions on your forms, it is important to be aware of this if you submit multiple tests from one single browser. If you are submitting forms with different email addresses, testing1@example.com and testing2@examile.com, these submissions will be merged into a single contact record in&nbsp;Leadin due to the presence of a common tracking cookie. The best way to test submissions, if you don't want them to be merged together, would be to test in the private browsing mode of your web browser. This ensures that you are given a new tracking cookie for each private browsing session, if you close your browser window between submissions.&nbsp;</p>","Leadin tracks every visitor that comes to your site using browser cookies. Every time a visitor lands on your website, Leadin will check for the presence of an existing tracking cookie. If a tracking cookie doesn't exist, Leadin spins up a unique browser cookie for that visitor and will log every page that person visitor moving forward.",3701236565,"https://app.hubspot.com/content/324680/edit-beta/3701236565"
"How do I install the Leadin tracking code on my Unbounce website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-unbounce-website","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><ul><li><a href=""http://documentation.unbounce.com/hc/en-us/articles/203879070-Using-Custom-JavaScript-and-CSS-on-Your-Landing-Page"" target=""_blank"" rel=""nofollow"">Guide to installing&nbsp;Leadin on one Unbounce page</a></li><li><a href=""http://documentation.unbounce.com/hc/en-us/articles/203879070-Using-Custom-JavaScript-and-CSS-on-Your-Landing-Page#content5"" target=""_blank"" rel=""nofollow"">Guide to installing&nbsp;Leadin on all Unbounce pages</a></li></ul>","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard. Head over to Unbounce to embed either on one page or all pages",3565808398,"https://app.hubspot.com/content/324680/edit-beta/3565808398"
"How do I install the Leadin tracking code on my Wix website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-wix-website","<p>At this time, it is <strong>not possible</strong> to install the Leadin tracking code on a<strong> Wix </strong>site, as this platform does not support the ability to add custom JavaScript (like the Leadin tracking code) to the body section of a website.</p>","At this time, it is not possible to install the Leadin tracking code on a Wix site, as this platform does not support the ability to add custom JavaScript (like the Leadin tracking code) to the body section of a website.",3541336911,"https://app.hubspot.com/content/324680/edit-beta/3541336911"
"How do I install the Leadin tracking code on my website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-website","<ul><li><a href=""/knowledge/how-do-i-install-leadin-on-my-wordpress-website"">WordPress</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-joomla-website"">Joomla</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-drupal-website"">Drupal</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-shopify-website"">Shopify</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-wix-website"">Wix</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-placester-website"">Placester</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-weebly-website"">Weebly</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-squarespace-website"">Squarespace</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-unbounce-website"">Unbounce</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-magento-website"">Magento</a></li><li><a href=""/knowledge/how-do-i-add-the-leadin-tracking-code-to-google-tag-manager"">Google Tag Manager</a></li><li><a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-blogger-website"">Blogger</a></li><li><a href=""#other-embed"">Other</a>&nbsp;(see below)</li></ul><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Add the Leadin javascript&nbsp;code directly before the <code>&lt;/body&gt;</code> tag in the HTML of your website.</p><!--more--><p>Depending upon your website platform, most systems have a global area to add code that will install it on all of your website pages. Contact your webmaster for additional setup assistance.</p>","Leadin can be installed on several platforms, via our embeddable tracking code. ",3565791088,"https://app.hubspot.com/content/324680/edit-beta/3565791088"
"Frequently Asked Questions","knowledge/frequently-asked-questions","<p>We've compiled a list of most frequently asked questions we've had from our users and listed them below.</p><!--more--><ol><li>When you install the Leadin tracking code or activate the WordPress plugin&nbsp;(if you're on WordPress), Leadin will track each anonymous visitor to your site with a cookie.</li><li>Once someone fills out any form on your site, Leadin will identify that person with their email address and generate a contact record for that individual.</li><li>You’ll receive an email with a link to the new contact record with all of their visit history.</li></ol><p>Leadin automatically integrates with your contact and comment forms that contain an email address field on your web site. There’s no setup required.</p><p>Provided your form is a static HTML form, wrapped in a HTML <code>&lt;form&gt;</code> tag and not contained inside an <code>&lt;iframe&gt;</code>, Leadin should be able to capture the submissions.&nbsp;</p><p>Some common reasons why Leadin would not be able to capture submissions on forms:</p><ul><li>Form not enclosed in <code>&lt;form&gt;</code> tags</li><li>Form contained inside an <code>&lt;iframe&gt;</code></li><li>Form has&nbsp;JavaScript bound to form submit event or submit button click event<ul><li>This is how Leadin captures submissions, and any other events can prevent Leadin from knowing when submissions occur</li></ul></li><li>Form was introduced after the page completed loading<ul><li>Leadin scans the page as soon as it loads and listens to submissions on forms that were present at that point</li></ul></li></ul><p><a href=""/knowledge/can-leadin-capture-submissions-on-my-form"" target=""_blank"">Learn more here</a>.</p><p>There’s a few reasons why you might not be seeing the popup. If you close the popup, Leadin won’t show it to you again for a period of two weeks. We recommend trying to view your site in a Chrome ‘incognito window’. You can also use the “Preview Popup” button in your Leadin settings to view the popup even if you’ve closed it.</p><p>If it’s still not working, please confirm that Leadin is installed on your website. For the Leadin WordPress plugin, Leadin requires that your templates have both WordPress header and footer includes to work properly. We include code in those files to make the Leadin tracking and popups work.</p><p>From within Settings you can change the colour of the popup form elements under the setting 'Button color'. Beyond this there’s no built in ability to change the style of the popup form. You can apply any CSS styles you want to the plugin to make it look how you want. The container class is “.leadin-subscribe”. This CSS would need to be written inside your website's CSS file, since Leadin does not have any customisable CSS files.</p><p>Leadin sets a small number of cookies in a visitors browser to facilitate with identifying analytical tracking. For a full breakdown of each cookie, <a href=""/knowledge/what-cookies-does-leadin-set-in-a-visitors-browser"" target=""_blank"">see here</a>.</p><p>Right now, the Leadin application is available in English and the Leadin plugin is available in French, Spanish, Japanese, German and Brazilian Portuguese. We’re hoping to offer translations for the Leadin application soon.</p><p>Unfortunately, due to the way WooCommerce submits forms, Leadin is unable to provide tracking for those forms. However, if a visitor submits a supported form on your site, Leadin will be able to track them on WooCommerce product pages.</p><p>You betcha! Leadin should work just fine on multisite right out-of-the-box without requiring any additional setup.</p><p>The basic version of Leadin is completely free! We’re working on some additional features that we’ll charge for in the future, but right now everything is free.</p>","We've compiled a list of most frequently asked questions we've had from our users and listed them here.",3565791068,"https://app.hubspot.com/content/324680/edit-beta/3565791068"
"What cookies does Leadin set in a visitor's browser?","knowledge/what-cookies-does-leadin-set-in-a-visitors-browser","<p>Leadin's tracking code sets the following cookies, when a user visits your site:</p><!--more--><p><strong>hubspotutk </strong>(previously __leadinutk)<br> This cookie stores a unique value that we use to identify each unique visitor. This cookie is passed to Leadin on form submission and used when deduplicating contacts. This cookie was previously known as <em>li_hash </em>and <em>li_classic_hash</em><i> in Leadin v3 and lower.<br> <em>(Expires: 2 years)</em></i></p><p><strong>leadin_popup</strong><br> This cookie is used to store if a visitor has ignored or submitted the Leadin popup form. If they have, we don't show them the popup again until the cookie expires. <br> <em>(Expires: 14 days)</em></p><p><strong>utk </strong>(set on the domain js.leadin.com)<br> This cookie is only used to set the __leadinutk cookie when one does not already exist. <br> <em>(Expires: 2 years)</em></p>","Leadin's tracking code sets the following cookies, when a user visits your site: __leadinutk, leadin_popup and utk (on the domain js.leadin.com).",3541336896,"https://app.hubspot.com/content/324680/edit-beta/3541336896"
"How do I know what the CSS selector of my form is?","knowledge/how-do-i-know-what-the-css-selector-of-my-form-is","<p>You can find a form selector by right clicking on one of the input fields inside the form you want to target in Google Chrome (or your favourite browser) and going to <strong>Inspect Element</strong>.</p><!--more--><figure><img alt=""inspect-element.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/inspect-element.png"" title=""inspect-element.png"" width=""640"" data-constrained=""true"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></figure><p>This will show you the HTML source for your page and highlight the specific input. Look up the page for a &lt;form&gt; element.&nbsp;There should be some attributes on the form that either say ""id='my-form-id'"" or ""class='my-form-class'"".</p><ul><li>HTML ID attributes are denoted by a ""#"" symbol, so you would look for ""#my-form-id"" in Leadin Forms.</li><li>HTML class attributes are denoted by a ""."" symbol, so you would look for "".my-form-class"" in Leadin Forms.</li></ul><p>If you don't want to nerd out and look at HTML source code, you can also install the <a href=""https://chrome.google.com/webstore/detail/selectorgadget/mhjhnkcfbdhnjickkkdbjoemdmbfginb/related"" rel=""nofollow"" target=""_blank"">SelectorGadget</a> Chrome extension.</p>","CSS selectors are what Leadin used to initially name your forms, here's how you can find out what the CSS selector of your form is.",3572911682,"https://app.hubspot.com/content/324680/edit-beta/3572911682"
"What happens if I reply to a Leadin submission notification email?","knowledge/what-happens-if-i-reply-to-a-leadin-submission-notification-email","<p>If you've chosen to <a href=""/knowledge/how-do-i-receive-email-notifications-from-leadin"" target=""_blank"">receive submission notification emails</a> from Leadin each time a contact submits a form on your website, you now have the ability to reply directly to the contact from this email.</p><!--more--><p>Leadin sets the reply-to address of the submission notification email to be that of the Contact themselves meaning you never need to leave the email to follow up with them.</p><p><strong>IMPORTANT: </strong>When you reply to this email, it will include the timeline of page views/submissions from the Leadin email. If you don't want to include this, you can remove the content from your email reply.</p>","If you've chosen to receive submission notification emails from Leadin each time a contact submits a form on your website, you now have the ability to reply directly to the contact from this email.",3565756048,"https://app.hubspot.com/content/324680/edit-beta/3565756048"
"How do I clear my browser cookies if I am experiencing issues signing up?","knowledge/how-do-i-clear-my-browser-cookies-if-i-am-experiencing-issues-signing-up","<p>When installing Leadin via the WordPress plugin, Leadin enters a couple of rows into your WordPress database in order to connect your WordPress website to your newly created Leadin account.</p><!--more--><p>Some WordPress servers may have trouble with this due to the number of cookies which are set for your own domain name. These range from your WordPress login cookie, plugin tracking cookies, Google Analytics (if installed) and many more. If the number of cookies set for your domain name goes beyond the limit your WordPress server can handle this will prevent Leadin from entering these Leadin account details into your WordPress database and you will not be able to sign up.</p><p>Luckily there is a way to delete your cookies, which should resolve this issue.</p><ul><li><a href=""https://support.google.com/chrome/answer/95647"" target=""_blank"" rel=""nofollow"">Deleting cookies in Google Chrome</a></li><li><a href=""https://support.mozilla.org/en-US/kb/delete-cookies-remove-info-websites-stored#w_delete-cookies-for-a-single-site"" target=""_blank"" rel=""nofollow"">Deleting cookies in Firefox</a></li><li><a href=""http://windows.microsoft.com/en-IE/internet-explorer/delete-manage-cookies#ie=ie-11"" target=""_blank"" rel=""nofollow"">Deleting cookies in Internet Explorer</a></li><li><a href=""http://www.allaboutcookies.org/manage-cookies/safari.html"" target=""_blank"" rel=""nofollow"">Deleting cookies in Safari</a></li><li><a href=""http://www.opera.com/help/tutorials/security/privacy/"" target=""_blank"" rel=""nofollow"">Deleting cookies in Opera</a></li></ul><p>Once your cookies have been deleted you may need to log back into WordPress but you should now be able to successfully sign up for Leadin. If you are still experiencing issues, <a href=""/knowledge/contact"">let us know</a>.</p>","When installing Leadin via the WordPress plugin, Leadin enters a couple of rows into your WordPress database in order to connect your WordPress website to your newly created Leadin account. Some WordPress servers may have trouble with this due to the number of cookies which are set for your own domain name and this can cause issues signing up to Leadin. ",3565808438,"https://app.hubspot.com/content/324680/edit-beta/3565808438"
"How do I translate the Leadin popup form?","knowledge/how-do-i-translate-the-leadin-popup-form","<p>The Leadin popup form can now be translated into six different languages:</p><!--more--><ul><li>English</li><li>French</li><li>German</li><li>Japanese</li><li>Spanish</li><li>Portuguese (Brazil)</li></ul><p>This will automatically translate the field labels and ""Powered by Leadin"".</p><p>To choose the language of your popup form navigate to <strong>Settings</strong> and under <strong>Popup Form</strong>&nbsp;you will see a new option '<strong>Popup language</strong>.</p><p>To enable or disable the popup form, follow <a href=""/knowledge/how-do-i-enable-or-disable-the-popup-form"" target=""_blank"">this guide</a>.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-lang.png"" alt=""popup-lang.png"" title=""popup-lang.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></p>","The Leadin popup form can now be translated into six different languages: English, French, German, Japanese, Spanish, Portuguese (Brazil)",3541341041,"https://app.hubspot.com/content/324680/edit-beta/3541341041"
"What's new in Leadin Cloud?","knowledge/whats-new-in-leadin-cloud","<figure><p>If you are upgrading to Leadin Cloud (Leadin version 4.0+) from an older version of the Leadin WordPress plugin there are a few key differences (<a href=""/product-updates/leadin-cloud"" target=""_blank"">in addition to new features</a>)&nbsp;that we wanted to highlight to get you orientated.&nbsp;</p><!--more--><p>In Leadin Cloud there is now no longer a need to manually create a tag and tie it to each form on your site. We now automatically generate a Form for each unique form on your site when we detect a submission on the form. We identify these forms based on the&nbsp;unique CSS selector on the form which <a href=""/knowledge/how-do-i-rename-a-form-in-leadin"">you can rename</a> to whatever makes the most sense to you. You can find Forms in the left-side of your Contacts screen in Leadin. You can also connect each form separately to one or more lists inside your <a href=""/knowledge/search?q=How%20do%20I%20connect%20Leadin%20to"">email service provider</a>.</p></figure><p>In addition to editable names, you can also control which forms you receive email notifications for. No more pesky notifications for login forms or other forms you don't want to hear about. You can find this option in the top right of every form in Leadin, 'Notifications On'.&nbsp;</p><p>With Leadin Cloud we wanted to make configuration and setting management as easy as possible. We have now removed the Power-ups screen and rolled the Power-ups into Settings making them easier to manage and set up.</p>","If you are upgrading to Leadin Cloud (Leadin version 4.0+) from an older version of the Leadin WordPress plugin there are a few key differences (in addition to new features) that we wanted to highlight to get you orientated. ",3701213970,"https://app.hubspot.com/content/324680/edit-beta/3701213970"
